0.029930 0.029930 0.000000 
0.035509 0.035509 0.000000 
0.035509 0.035509 0.000000 
0.039041 0.039041 0.000000 
0.039806 0.039806 0.000000 
0.039806 0.039806 0.000000 
0.039041 0.039041 0.000000 
0.039041 0.039041 0.000000 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038054 0.038054 0.001026 0.001026 
0.038054 0.038054 0.001026 0.001026 
0.038054 0.038054 0.001026 0.001026 
0.038054 0.038054 0.001026 0.001026 
0.038054 0.038054 0.001026 0.001026 
0.038054 0.038054 0.001026 0.001026 
0.038054 0.038054 0.001026 0.001026 
0.038054 0.038054 0.001026 0.001026 
0.038054 0.038054 0.001026 0.001026 
0.038054 0.038054 0.001026 0.001026 
0.038054 0.038054 0.001026 0.001026 
0.038054 0.038054 0.001026 0.001026 
0.038054 0.038054 0.001026 0.001026 
0.038054 0.038054 0.001026 0.001026 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038770 0.038770 0.001426 0.001426 
0.038263 0.038263 0.005363 0.005363 
0.034389 0.034389 0.018896 0.018896 
0.033991 0.033991 0.031093 0.031093 
0.035277 0.035277 0.016498 0.016498 
0.019810 0.019810 0.002139 0.002139 
0.013018 0.013018 0.000040 0.000040 
0.009664 0.009664 0.000000 0.000000 
0.013002 0.013002 0.000000 0.000000 
